mode,time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
odom,206.29,2.0131004090576248,0.0009063305565093966,2.032110443308757,-0.01885902510518722,0.027423542562232683,0.004125815068107819
odom,206.35,2.012718653917802,0.0009063447534298352,2.0319733505414357,-0.019743686971606333,0.0282341486911358,0.0017341565963949837
odom,206.43,2.012592577267475,0.0009063413673134658,2.031639818942498,-0.019864555328116484,0.028182043307023737,0.001688226593410708
odom,206.49,2.01257694312565,0.0009063410881388592,2.0316163453526936,-0.019884006395110454,0.028191086989284384,0.0017516358613861042
odom,206.55,2.0125676047924186,0.0009063408159823017,2.0314377246608304,-0.019865217823098025,0.028063126556835797,0.001990122220653531
odom,206.63,2.0125603741645937,0.0009063411121115979,2.031344392069424,-0.019919470694768737,0.02804556588954086,0.0018595159436562419
odom,206.69,2.01257504841749,0.0009063375702549819,2.031339394620084,-0.019934731647219817,0.028043731109436653,0.002141493843121508
odom,206.75,2.01266526121784,0.0009067563031734407,2.0290350025914146,-0.020398432542181322,0.026867815400101833,0.00265181011405787
odom,206.83,2.0129068239334207,0.0009116435586615818,2.023700062917441,-0.02263417700032644,0.025901731091999156,0.007745431249102361
odom,206.89,2.0130912824149227,0.0009186600979704951,2.0210993057532365,-0.02430869992778817,0.026467869798233172,0.016420909025390805
odom,206.95,2.013273166321395,0.000928346850513718,2.016381145739735,-0.028151690334203838,0.029245650937009066,0.017596091096352566
odom,207.03,2.0135237114736677,0.0009460481235024402,2.0124243722672785,-0.03250031177916579,0.03346442196467044,0.022146620616650122
odom,207.09,2.013704860917896,0.000962009548304694,2.0106996679677653,-0.03491584655000901,0.036003496259097115,0.02878481657698735
odom,207.15,2.0138835586677657,0.0009804125613824175,2.0078508819098415,-0.04017603456074603,0.04159622973999151,0.024693541254890858
odom,207.23,2.0141291462071997,0.0010099879441392752,2.0058811169410786,-0.04590163281483539,0.04763118882632107,0.023508600329975985
odom,207.29,2.014316357938198,0.00103580049597971,2.0047825852227703,-0.05213870958260092,0.05402241520227053,0.015006129208476798
odom,207.35,2.014493888563363,0.0010630270002886463,2.0046014917813153,-0.05540159571590797,0.05732462937146561,0.01747005351717959
odom,207.43,2.014479211768523,0.0010596299984003197,2.004872264441845,-0.062211691049399054,0.06399651165548995,0.010299348379001566
odom,207.49,2.014430221884643,0.001050396117387432,2.0053860770455936,-0.06570071577394287,0.06736102355664292,0.010669230384036277
odom,207.55,2.0144691123788303,0.0010580756765345078,2.0070210981599157,-0.07258292487062645,0.07401668647941569,-0.0034197201025033823
odom,207.63,2.0146417746593777,0.001096082792625691,2.0091645021046736,-0.07909833199120753,0.08038124580497619,-0.012344525630446412
odom,207.69,2.014852684546054,0.001146257513150527,2.010390876310998,-0.08204102631767052,0.08330685400299302,-0.011621045006511704
odom,207.75,2.015102125483107,0.0012093221409487807,2.013025128636727,-0.0877548801046828,0.08898844417732851,-0.023838489920570142
odom,207.83,2.015287025555027,0.0012590468526189127,2.015172642203849,-0.09368396885355246,0.09494308460827112,-0.030339712026930532
odom,207.89,2.015411261913474,0.0012948222667816373,2.0163161202894395,-0.09631919838415115,0.0976182144700531,-0.02858277110494839
odom,207.95,2.015590223236153,0.0013488871649746158,2.0187402585152023,-0.10089803818131449,0.10229543716622394,-0.03730537324765121
odom,208.03,2.0159678667108003,0.001469642251947968,2.021782181219735,-0.10346811398862688,0.10509871044886857,-0.03864861910317313
odom,208.09,2.016378768217835,0.00160785294284503,2.0238556373765677,-0.1034304598063236,0.10530408689888997,-0.03323376753000107
odom,208.15,2.017065875154948,0.0018485985727616178,2.0292704102246457,-0.10241592637848251,0.10497638705716678,-0.030168213151165246
odom,208.23,2.0182758243403627,0.0022910836170575294,2.0350528818045843,-0.10030535599661006,0.103959122151732,-0.019455399728384448
odom,208.29,2.0193023835464885,0.0026822496106669747,2.038024159235426,-0.09840667064256658,0.10280795048492843,-0.009542048707574524
odom,208.35,2.0206380602650773,0.0032081973417807056,2.04481938041475,-0.092199689834497,0.09842459641584667,0.0013049844245955344
odom,208.43,2.0228043230110626,0.0040931481990860216,2.051275731357366,-0.08565066867742344,0.09415186541320585,0.014953499952355065
odom,208.49,2.0242827067849607,0.004718129591793492,2.0541169481151282,-0.08312351744089552,0.09276980602093658,0.023617185405499952
odom,208.55,2.025559984139075,0.00527601416878593,2.0613413291022136,-0.08022288176570846,0.09268422656195942,0.02942501332035602
odom,208.63,2.027720686196503,0.006250470164220618,2.069961456164423,-0.07722364293759565,0.09355324796936512,0.0416824423865228
odom,208.69,2.029329636271452,0.0070001944410432995,2.0738829096862954,-0.07551960002236147,0.09377905229986253,0.05119288438481657
odom,208.75,2.030930071726316,0.00776664775468646,2.0812027940272015,-0.07185097904880156,0.09416110186994114,0.059687920637187704
odom,208.83,2.033083629359089,0.008830616173880708,2.0879675779851112,-0.06778498377935493,0.09424541353815638,0.07164444395062129
odom,208.89,2.0346862070391136,0.009646755490183618,2.091049035803178,-0.06576002670563375,0.09414324865551803,0.0810760579956205
odom,208.95,2.0361301535210545,0.010401088127410084,2.0959221491671114,-0.06283887110217679,0.09454720710465027,0.08950299574089471
odom,209.03,2.0377545177475924,0.011274650661522528,2.099801434737918,-0.06028278987386759,0.09471160015531485,0.1020122115122361
odom,209.09,2.038625097608752,0.011756070974341162,2.1012900347028625,-0.05947177751590038,0.09486991483899224,0.11146950063278699
odom,209.15,2.039163757093808,0.012062280513869506,2.104812974912381,-0.059631194906577534,0.09720994917215361,0.12057855653683586
odom,209.23,2.039973918975136,0.012534991679776376,2.108890884544566,-0.06125123465377058,0.10096511942172638,0.1378159010660034
odom,209.29,2.0405742355383376,0.012894906174086984,2.1098539103909557,-0.061838444023298855,0.10190557874527574,0.14795368359305316
odom,209.35,2.0409805423789864,0.013144669031839007,2.110078782094213,-0.06258499610423796,0.10251609099729309,0.1592565739097887
odom,209.43,2.0412568451991575,0.01331957245929945,2.109148505323625,-0.06333984558312666,0.1024008978918625,0.17573992953636627
odom,209.49,2.0413574888867245,0.013385331069017192,2.108553342000982,-0.06392038507383901,0.10242781079429897,0.1870775497069137
odom,209.55,2.0415617782233446,0.013523086641446184,2.1073121981760643,-0.06516799986924715,0.10254464793538677,0.19469776675665668
odom,209.63,2.04213854204575,0.013921213354826283,2.1046511577996423,-0.06494068747490589,0.10063312839652896,0.20748941909018637
odom,209.69,2.0421883004180463,0.013957272025118445,2.103383376398,-0.06469029045495711,0.09965077224111049,0.2227462014505076
odom,209.75,2.0420723766775186,0.01387131974916083,2.1023783566277547,-0.06467712717365082,0.09902863086877471,0.24073256729660872
odom,209.83,2.0420294513319943,0.013838178042507487,2.0991877673168684,-0.06476193486166926,0.0971856513831957,0.2561826062705818
odom,209.89,2.0420321312298455,0.013840175802958423,2.0983060506625435,-0.06480558921185509,0.09670527577688327,0.2696709442374176
